id;start_date;end_date;language
1;2022-11-10T10:24:20;2022-11-10T08:14:35;ENGLISH
2;2022-11-09T19:51:55;2022-11-10T05:17:24;FRENCH
3;2022-11-10T05:48:07;2022-11-09T17:53:15;SPANISH
4;2022-11-10T10:18:56;2022-11-09T15:45:15;FRENCH
5;2022-11-10T12:35:19;2022-11-09T20:54:17;ENGLISH
6;2022-11-09T22:06:02;2022-11-10T12:06:22;SPANISH
7;2022-11-10T06:09:50;2022-11-09T16:43:59;FRENCH
8;2022-11-09T20:35:43;2022-11-09T17:11:32;FRENCH
9;2022-11-09T21:27:21;2022-11-10T08:58:47;FRENCH
10;2022-11-09T17:24:19;2022-11-10T10:21:48;FRENCH
